Year,AO_JF,AO_MA,EP-NP_JF,EP-NP_MA,PNA_JF,PNA_MA,SOI_JF,SOI_MA,Nino1+2_JF,Nino1+2_MA,Nino3_JF,Nino3_MA,Nino3.4_JF,Nino3.4_MA,Nino4_JF,Nino4_MA,ONI_JF,ONI_MA,PDO_JF,PDO_MA,NAO_JF,NAO_MA,EA_JF,EA_MA,WP_JF,WP_MA,EA-WR_JF,EA-WR_MA,SCA_JF,SCA_MA,POL_JF,POL_MA
1980,-1.500,-0.926,0.695,-0.300,0.510,0.510,0.600,-0.850,-0.335,-0.005,0.205,-0.190,0.380,-0.020,0.365,0.165,0.525,0.360,0.320,0.700,-0.885,0.265,-0.605,-0.905,-1.105,0.905,0.005,-0.560,0.630,0.945,0.035,-0.400
1981,-0.224,-0.608,0.495,-0.080,1.335,0.020,0.150,-1.150,-1.335,-0.640,-0.795,-0.555,-0.500,-0.585,-0.150,-0.345,-0.380,-0.420,1.210,1.145,0.260,-0.700,-1.735,0.040,-0.560,0.285,-0.510,1.135,-0.080,-1.105,1.040,-0.800
1982,0.045,1.264,1.135,-0.285,-1.475,-1.870,1.200,0.550,-0.525,-1.050,0.100,-0.055,-0.020,0.170,-0.105,0.200,0.010,0.330,-0.040,-0.535,-0.345,0.380,-0.155,-0.720,-0.770,0.160,0.810,0.230,-0.020,-0.425,0.420,0.100
1983,-0.224,-0.652,-0.310,-0.530,1.155,1.505,-5.900,-2.750,2.340,2.775,2.650,1.615,2.145,1.165,0.360,0.135,2.050,1.415,0.685,1.495,0.150,-0.240,-0.230,0.475,-0.470,-0.025,0.890,-0.940,-0.430,0.360,0.195,-0.365
1984,0.301,-1.335,-1.190,-0.360,0.665,1.245,0.850,0.100,-0.635,-0.550,-0.365,-0.360,-0.430,-0.600,-0.775,-0.865,-0.510,-0.385,1.325,1.280,0.895,-0.620,-0.325,-0.650,-1.000,-0.975,-1.920,-0.750,0.425,1.485,-0.330,1.010
1985,-2.123,0.602,-0.705,-1.155,0.225,-1.230,0.750,1.600,-1.080,-1.130,-1.080,-0.915,-0.940,-0.985,-0.675,-1.075,-0.945,-0.775,0.675,-0.430,-1.690,0.005,-0.460,-0.130,-0.865,0.640,0.020,0.330,0.105,0.095,-0.835,0.550
1986,-1.736,1.017,0.675,-0.745,0.505,0.180,-0.050,0.650,-0.050,-0.790,-0.665,-0.375,-0.685,-0.375,-0.240,-0.250,-0.480,-0.255,1.255,1.445,-0.400,0.300,-0.685,0.215,-1.165,-0.560,-0.590,-0.135,0.550,0.770,0.770,1.210
1987,-1.310,-0.680,-0.615,0.025,0.600,1.195,-1.600,-2.200,0.980,1.500,1.080,0.885,1.135,0.780,0.400,0.275,1.210,1.005,1.465,1.365,-1.560,0.885,0.420,-0.385,0.970,0.350,0.395,1.165,-0.170,0.845,0.185,-0.450
1988,-0.401,-0.379,0.500,-0.185,0.700,0.750,-0.400,0.650,-0.145,-0.820,0.335,-0.400,0.590,-0.170,0.550,-0.110,0.675,-0.085,0.350,0.415,0.550,-1.000,0.080,0.295,1.065,0.165,-1.265,-0.920,0.660,-0.235,-0.205,0.850
1989,3.192,0.640,0.265,0.945,-1.640,-1.165,2.250,2.250,-0.180,-0.120,-1.200,-0.935,-1.720,-1.145,-1.625,-1.085,-1.560,-0.955,-1.345,-0.780,1.335,0.850,0.460,0.250,0.895,-1.130,0.455,-0.695,-0.725,0.670,1.115,0.185
1990,2.202,2.434,-1.220,0.875,-1.935,-0.290,-1.550,-0.200,-0.320,-0.480,-0.140,-0.190,0.110,0.060,0.270,0.215,0.175,0.285,-0.850,-0.695,0.930,1.580,0.870,0.320,0.805,-0.485,0.020,-0.570,-0.760,-1.345,-1.415,0.895
1991,-0.077,0.002,-0.070,-0.260,0.665,-0.415,0.700,-1.050,-0.460,-0.255,0.065,-0.105,0.405,0.110,0.560,0.340,0.335,0.240,-1.445,-1.370,0.615,-0.220,0.535,-0.080,-1.040,1.265,0.130,-0.490,0.860,0.030,-0.030,0.890
1992,0.836,0.232,0.265,1.370,0.540,0.085,-3.100,-2.500,0.540,1.715,1.320,1.110,1.810,1.290,0.755,0.550,1.670,1.385,0.125,0.335,0.055,1.195,-0.365,-0.020,-0.230,0.250,1.705,0.035,-0.025,0.365,0.780,-0.395
1993,1.840,0.165,0.735,0.460,-0.520,1.100,-1.350,-1.350,0.145,0.925,0.140,0.620,0.275,0.490,0.160,0.045,0.195,0.585,-0.130,0.620,0.735,0.605,-0.595,-0.555,0.010,-1.075,1.235,0.410,-0.615,0.245,1.195,0.995
1994,-0.575,1.053,1.425,-0.040,-1.035,-0.235,0.100,-1.600,-0.210,-1.140,0.060,-0.365,0.080,0.185,0.025,0.080,0.065,0.240,0.590,0.380,0.390,1.010,0.415,0.375,-0.345,-0.180,-0.035,-1.295,0.505,-0.160,-0.590,-0.245
1995,0.638,-0.285,0.540,0.870,0.440,0.035,-0.450,0.050,0.415,-1.020,0.610,-0.215,0.875,0.370,0.715,0.615,0.840,0.415,-0.420,0.475,0.710,-0.080,0.560,-2.085,-1.115,-0.160,-0.855,-0.310,-1.085,-0.650,0.085,-0.800
1996,-0.518,-1.504,0.265,1.240,-0.690,-0.120,1.000,1.600,-0.545,-1.125,-0.740,-0.680,-0.860,-0.540,-0.495,-0.430,-0.825,-0.490,1.010,1.110,-0.585,-0.495,-0.825,-0.670,-0.425,-1.210,-0.880,-0.255,1.320,1.695,1.345,-0.160
1997,0.716,0.708,0.095,0.820,0.305,-0.635,1.850,-0.850,-0.560,0.725,-0.785,-0.235,-0.450,-0.045,0.100,0.415,-0.430,0.090,0.365,0.560,0.200,-0.060,0.465,-0.820,-1.275,-0.600,1.145,0.485,-0.400,-1.885,0.940,-0.305
1998,-1.132,-0.146,0.145,0.410,0.595,0.770,-3.900,-3.200,3.095,2.710,2.785,1.780,2.205,1.060,0.615,0.115,2.085,1.215,1.285,0.660,-0.310,-0.185,0.735,1.440,0.365,1.680,1.635,-0.280,0.015,0.245,-0.565,-0.010
1999,0.296,-0.604,-1.005,-0.650,-0.450,0.215,2.300,2.200,-0.660,-0.470,-1.065,-0.695,-1.505,-1.030,-1.660,-1.280,-1.425,-1.025,-0.920,-1.515,0.140,-0.670,-0.955,-0.500,0.795,1.245,-0.730,0.905,-0.860,0.715,-0.180,-0.530
2000,1.173,-0.365,-0.735,-0.160,-0.250,0.185,1.900,2.100,-0.690,-0.255,-1.400,-0.335,-1.660,-0.925,-1.400,-1.430,-1.535,-0.940,-1.740,-0.645,0.835,0.110,-0.780,-0.175,-0.310,-0.645,0.375,-1.040,-1.090,-0.290,-0.865,-0.905
2001,-0.790,-0.391,-0.320,-0.550,0.390,-0.155,2.200,0.900,-0.555,0.175,-0.350,-0.065,-0.680,-0.485,-0.855,-0.650,-0.600,-0.390,0.235,-0.795,-0.075,-0.940,0.570,0.940,0.995,0.025,-0.365,-0.470,0.690,-0.525,-0.915,0.330
2002,1.343,0.825,-0.500,1.220,-0.405,-1.980,1.250,-0.250,-0.425,0.795,-0.365,0.070,-0.095,0.015,0.430,0.330,-0.060,0.145,-0.965,-1.250,0.400,0.730,1.555,0.220,0.415,0.470,0.070,0.005,-1.155,0.275,0.260,-0.060
